rxn,flux,lb,ub
BTDDH_c,-0.16367267818384448,-1000.0,1000.0
13GS_c,0.004718513581079002,0.0,1000.0
16GS_c,0.001241715886214993,0.0,1000.0
PRMICI_c,0.0002119843000631889,0.0,1000.0
P5CD2_m,0.00029668261677597013,0.0,1000.0
DHPPDA2_c,6.78653797103307e-07,0.0,1000.0
DRAPPRy_c,6.78653797103307e-07,0.0,1000.0
ACHBS_m,0.0006469335186266984,0.0,1000.0
AATA_c,0.0005060829140616539,-1000.0,1000.0
DPR_c,3.393268999097824e-07,0.0,1000.0
IPPMIb_c,-0.0008797864229508139,-1000.0,1000.0
UNK3_c,6.035411913469825e-16,0.0,1000.0
HCITR_m,0.0005060829140616539,-1000.0,1000.0
OMCDC_c,0.0008797864229508139,0.0,1000.0
BPNT_c,9.29602206518331e-06,0.0,1000.0
DB4PS_c,1.3573075942066141e-06,0.0,1000.0
DHQTi_c,0.00047117101884496036,0.0,1000.0
DHQS_c,0.0004711710188449603,0.0,1000.0
3DSPHR_r,1.9453611093966294e-05,0.0,1000.0
DDPA_c,0.00047117101884496025,0.0,1000.0
IPPMIa_c,-0.000879786422950814,-1000.0,1000.0
IPMD_c,0.0008797864229508139,0.0,1000.0
MTMOHT_m,3.3932689990978245e-07,0.0,1000.0
PSCIT_c,0.00047117101884496025,0.0,1000.0
MTAP_c,2.2000499360803875e-15,0.0,1000.0
PRFGS_c,0.00033208566255817995,0.0,1000.0
MTHFR3_c,0.0002404964043916929,0.0,1000.0
ALAS_m,2.7146151884132287e-06,0.0,1000.0
MDRPD_c,2.200049936080387e-15,0.0,1000.0
MTRI_c,2.200049936080387e-15,-1000.0,1000.0
ACALDCD_c,0.1636726781838445,0.0,1000.0
KARA1i_m,0.0012229477428102604,0.0,1000.0
ACLS_m,0.0012229477428159518,0.0,1000.0
ACACT180i_x,-6.343936255623411e-21,0.0,1000.0
ACACT260i_x,1.4082401609769815e-20,0.0,1000.0
ACACT40ir_c,0.0027977977843241767,0.0,1000.0
ACGK_m,0.00018825146572282924,0.0,1000.0
ACOTAi_m,0.00018825146572248088,0.0,1000.0
ACOAO260_x,1.3424342450551781e-20,0.0,1000.0
ACOAO180_x,-6.343936255623412e-21,0.0,1000.0
ADPT_c,3.283777652043822e-15,0.0,1000.0
ADNK1_c,0.0002469180042690816,0.0,1000.0
AHCi_c,0.00024691800426908167,0.0,1000.0
ADMDC_c,2.200000637261732e-15,0.0,1000.0
ADK1_c,0.0765762866671343,0.0,1000.0
ADK1_m,2.5274569494120654e-14,0.0,1000.0
ADSL2i_c,0.0003320856625581799,0.0,1000.0
ADSL1r_c,0.00034382297997799765,-1000.0,1000.0
ADSS_c,0.0003438229799779977,0.0,1000.0
ADSK_c,9.296022065179562e-06,0.0,1000.0
AGTi_c,0.00010573162409801809,0.0,1000.0
ALATRS_c,0.001073097563786705,0.0,1000.0
ANPRT_c,7.139437945526788e-05,0.0,1000.0
ANS_c,7.13943794552679e-05,0.0,1000.0
ARGSL_c,0.0001882514657233366,-1000.0,1000.0
ARGSS_c,0.00018825146572287442,-1000.0,1000.0
ARGTRS_c,0.00042396520685739243,0.0,1000.0
ASNS1_c,0.0005096384622037138,0.0,1000.0
ASNTRS_c,0.0005096384622037138,0.0,1000.0
ASPCT_c,0.000344600038555145,0.0,1000.0
ASPK_c,0.0009767712256678889,0.0,1000.0
ASPTA_c,0.5864355963586586,-1000.0,1000.0
ASAD_c,0.0009767712256678886,0.0,1000.0
ASPTRS_c,0.0005096384622037138,0.0,1000.0
ATPPRT_c,0.00021198430006318892,0.0,1000.0
ATPASEP2e_c,0.08148225044541067,0.0,1000.0
C14STR_c,0.0002469180042690816,0.0,1000.0
C3STDH2_c,0.00024691800426908167,0.0,1000.0
C3STDH1_c,0.00024691800426908167,0.0,1000.0
C4STMO1_c,0.00024691800426908167,0.0,1000.0
C4STMO2_c,0.00024691800426908167,0.0,1000.0
C4STMO3_c,0.00024691800426908167,0.0,1000.0
C4STMO4_c,0.0002469180042690816,0.0,1000.0
C8STI_c,0.00024691800426908167,0.0,1000.0
CBPS_c,0.0005328515042806362,0.0,1000.0
CAT_c,1.6966344995489123e-07,0.0,1000.0
CAT_x,-4.587508869655084e-22,0.0,1000.0
CERH124A_r,4.863402773491574e-06,0.0,1000.0
CERH126A_r,4.8634027734915736e-06,0.0,1000.0
CHTNS_c,0.00011155711116784158,0.0,1000.0
CHOLK_c,9.90970274530249e-05,0.0,1000.0
CHLPCTD_c,9.909702745302487e-05,0.0,1000.0
CHORM_c,0.000399776639385835,0.0,1000.0
CHORS_c,0.0004711710188449603,0.0,1000.0
FRTT_l,7.307065433411288e-05,0.0,1000.0
GGTT_l,7.307065433411288e-05,0.0,1000.0
PPTT_l,7.307065433411288e-05,0.0,1000.0
PRENT6_l,7.307065433411288e-05,0.0,1000.0
PRENT7_l,7.307065433411288e-05,0.0,1000.0
PRENT8_l,7.307065433411288e-05,0.0,1000.0
PRENT9_l,7.307065433411288e-05,0.0,1000.0
PRENT10_l,7.307065433411288e-05,0.0,1000.0
PRENT11_l,7.307065433411288e-05,0.0,1000.0
PRENT12_l,7.307065433411288e-05,0.0,1000.0
PRENT13_l,7.307065433411288e-05,0.0,1000.0
PRENT14_l,6.495169274143367e-05,0.0,1000.0
PRENT15_l,5.683273114875447e-05,0.0,1000.0
PRENT16_l,4.871376955607525e-05,-1000.0,1000.0
PRENT17_l,4.059480796339605e-05,-1000.0,1000.0
PRENT18_l,3.247584637071684e-05,0.0,1000.0
PRENT19_l,2.435688477803763e-05,0.0,1000.0
PRENT20_l,1.623792318535842e-05,0.0,1000.0
PRENT21_l,8.11896159267921e-06,0.0,1000.0
CS_m,0.0011937334889179497,0.0,1000.0
CPPPGO_c,3.3932689855165353e-07,0.0,1000.0
CTPS2_c,0.0002406540297218182,0.0,1000.0
CYSTS_c,1.5717621940930525e-05,0.0,1000.0
CYSTGL_c,1.57176219409305e-05,0.0,1000.0
CYSTRS_c,1.5378295042360935e-05,0.0,1000.0
LNS14DMy_c,0.00024691800426908156,0.0,1000.0
DCMPDA_c,1.6538793035407586e-05,0.0,1000.0
DHFRi_c,1.6878119934890005e-05,0.0,1000.0
DHORTS_c,-0.000344600038555145,-1000.0,1000.0
DHAD1_m,0.0012229477428102604,0.0,1000.0
DHAD2_m,0.0006469335186266984,0.0,1000.0
DMATT_c,0.0005672459897708277,0.0,1000.0
DOLPMT_c,0.0005455324615325077,0.0,1000.0
DTMPK_c,1.6538793035407586e-05,0.0,1000.0
ENO_c,0.3358722133091255,-1000.0,1000.0
FACOAL120_x,-2.766693773305407e-20,0.0,1000.0
AFAT_c,3.393268985516535e-07,0.0,1000.0
FDH_c,0.24737210284078875,0.0,1000.0
FBA_c,0.24660674068004315,-1000.0,1000.0
FUM_c,0.0009698917323172285,-1000.0,1000.0
DHORDfum_c,0.000344600038555145,0.0,1000.0
GRTT_c,0.0005672459897708277,0.0,1000.0
PGI_c,0.14264952570622708,-1000.0,1000.0
GLU5K_c,-1.9967503148226876e-15,0.0,1000.0
GLUDy_c,0.13199957895983339,0.0,1000.0
GLNS_c,0.0036198609975056114,0.0,1000.0
GF6PTA_c,0.0003377727813562868,0.0,1000.0
GLNTRS_c,0.0008501292520173994,0.0,1000.0
GLUTRS_c,0.0008501292520173994,0.0,1000.0
GAPD_c,0.46086571402202703,-1000.0,1000.0
G3PD1r_c,0.07348815332618615,-1000.0,1000.0
GARFT_c,0.00033208566255818,0.0,1000.0
GLYCL_m,0.12389904258060451,-1000.0,1000.0
GHMT2r_c,0.24825633969768862,-1000.0,1000.0
GLYTRS_c,0.000976440296734267,0.0,1000.0
GMPS2_c,0.00020024698264228748,0.0,1000.0
GTPCII2_c,6.786537971033073e-07,0.0,1000.0
GK1_c,0.00021678577567769508,0.0,1000.0
GK2_c,-1.653879303540759e-05,-1000.0,1000.0
HOMOX_m,3.393268985516535e-07,0.0,1000.0
HEMEOS_m,3.3932689855165353e-07,0.0,1000.0
HEX7_c,0.14860975517352104,0.0,1000.0
HEX1_c,0.14860975517352104,0.0,1000.0
HISTD_c,0.00021198430006318892,0.0,1000.0
HISTP_c,0.00021198430006318892,0.0,1000.0
HSTPT_c,0.00021198430006318892,0.0,1000.0
HISTRS_c,0.00021198430006318895,0.0,1000.0
HACNH_m,0.0005060829140616539,-1000.0,1000.0
HICITD_m,0.0005060829140616539,0.0,1000.0
HSK_c,0.0009674752035988835,0.0,1000.0
HSERTA_c,9.29602206517956e-06,0.0,1000.0
HETZK_c,2.0330965068044518e-21,0.0,1000.0
PPBNGD_c,3.3932689855165353e-07,0.0,1000.0
HMGCOAR_c,0.0027977977843241767,0.0,1000.0
HMGCOAS_c,0.0027977977843241767,0.0,1000.0
HMPK1_c,2.0330965068044518e-21,0.0,1000.0
IG3PS_c,0.00021198430006318895,0.0,1000.0
IGPDH_c,0.00021198430006318892,0.0,1000.0
IGPS_c,7.139437945526788e-05,0.0,1000.0
PPA_c,0.08848470967663148,0.0,1000.0
ICDHx_m,0.0010880018648199315,0.0,1000.0
ICL_1_c,0.00010573162409801809,0.0,1000.0
ILETA_m,-0.0006469335186266983,-1000.0,1000.0
ILETRS_c,0.0006469335186266983,0.0,1000.0
IPDDI_c,0.0005672459897708278,-1000.0,1000.0
KARA2i_m,0.0006469335186266984,0.0,1000.0
AASADy_c,0.0005060829140616538,0.0,1000.0
THRD_L_m,0.0006312158966857678,0.0,1000.0
LNSTLS_c,0.0002469180042690816,0.0,1000.0
LEUTA_c,-0.0008797864229508139,-1000.0,1000.0
LEUTRS_c,0.0008797864229508138,0.0,1000.0
LYSTRS_c,0.0007216227622669029,0.0,1000.0
MDH_m,0.5903714296489968,-1000.0,1000.0
MAN1PT_c,0.0018118257950095972,0.0,1000.0
MAN6PI_c,-0.0018118257950095974,-1000.0,1000.0
METAT_c,0.0002472573311698333,0.0,1000.0
METS_c,0.00024049640439123028,0.0,1000.0
METTRS_c,0.00012521501883454566,0.0,1000.0
MEVK4_c,0.002797797784324177,0.0,1000.0
DPMVD_c,0.002797797784324177,0.0,1000.0
AGPRi_m,0.00018825146572282924,0.0,1000.0
ACGAM6PS_c,0.0003377727813562869,-1000.0,1000.0
NADS2_c,6.786537972345417e-07,0.0,1000.0
NADHK1_c,3.393268985997422e-07,0.0,1000.0
NAMNPP_c,6.786537972345418e-07,0.0,1000.0
NDPK3_c,0.0006103096706651104,0.0,1000.0
NDPK7_c,2.581259717282428e-05,0.0,1000.0
NDPK5_c,2.5812597172824275e-05,0.0,1000.0
NDPK4_c,1.653879303540759e-05,0.0,1000.0
NDPK1_c,0.002330083160457058,0.0,1000.0
NDPK2_c,0.009440400071529603,0.0,1000.0
AHSERL2_c,9.29602206517956e-06,0.0,1000.0
OCBT_c,0.0001882514657229773,0.0,1000.0
ORNTACi_m,0.00018825146572282926,0.0,1000.0
ORPT_c,-0.000344600038555145,-1000.0,1000.0
OMPDC_c,0.000344600038555145,0.0,1000.0
PTPAT_c,3.3932689856948834e-07,0.0,1000.0
PNTK_c,3.393268985546363e-07,0.0,1000.0
PBAL_c,3.3932689990978245e-07,0.0,1000.0
PHETA1_c,-0.00018449747514156687,-1000.0,1000.0
PHETRS_c,0.00041298458842026084,0.0,1000.0
PRAIS_c,0.00033208566255818,0.0,1000.0
ACGAMPM_c,0.0003377727813562868,-1000.0,1000.0
PAPSR_c,9.296022065179562e-06,0.0,1000.0
PFK_c,0.24660674068004315,0.0,1000.0
PGCD_c,0.1249935007129016,0.0,1000.0
PGK_c,0.4608657140220271,-1000.0,1000.0
PGM_c,0.3358722133091255,-1000.0,1000.0
PMANM_c,-0.0018118257950095972,-1000.0,1000.0
PMPK_c,2.033096506804452e-21,0.0,1000.0
PMEVK_c,0.002797797784324177,0.0,1000.0
PPNCL2_c,3.393268985694883e-07,0.0,1000.0
PPCDC_c,3.3932689856948834e-07,0.0,1000.0
PPM_c,2.6787430228248632e-15,-1000.0,1000.0
PRASCSi_c,0.00033208566255817995,0.0,1000.0
PRAMPC_c,0.0002119843000631889,0.0,1000.0
PRATPP_c,0.0002119843000631889,0.0,1000.0
AIRC1_c,0.00033208566255818006,0.0,1000.0
PRAGSi_c,0.00033208566255817995,0.0,1000.0
GLUPRT_c,0.00033208566255817995,0.0,1000.0
PSERT_c,0.12499350071290162,0.0,1000.0
POLYAO1_c,5.928078035650322e-16,0.0,1000.0
PPBNGS_1_c,1.3573075942066141e-06,0.0,1000.0
POLYAO2_c,5.92807805386641e-16,0.0,1000.0
POLYAO3_c,3.3932689872416683e-07,0.0,1000.0
PPNDH_c,0.00018449747514086892,0.0,1000.0
PPND2_c,0.00021527916424812554,0.0,1000.0
