Rxn,Flux
G5SADr_m,-0.000206778231283
FE2t_c_m,3.4162308e-07
PAILt_gm_rm,-1.9453817683e-05
OGLYCANS3_g,0.000225232808645
PPNDH_c,0.000108214694851
HMGCOAR_c,0.002797796266446
MAN6PI_c,-0.001811810439203
PGMT_c,0.005960179205844
GTPCII2_c,6.81592982e-07
LINOLNCOAt_c_rm,-3.826047062e-06
HCO3t_c_n,-0.407270633524498
ACOATA_c,0.050281579830216
HOMOX_m,3.39422249e-07
ATPt_c_rm,3.200583256e-06
SADT_c,0.000127196073549
ASAD_c,0.000845929893084
AKGMALta_m,0.281508662550319
compCER_r,1.9453817683e-05
ARGTRS_c,0.00062844673724
OGLYCANS1_r,0.000225232808645
IMPC_c,0.000565372932694
RPE_c,0.143304954851222
PRAMPC_c,0.00023291716896
DPCOAK_c,3.39325623e-07
C4STMO4_c,0.000246919176462
3OAS160_c,0.050281579830216
CITt3_m,-0.000464328425369
DKMPPH_c,3.39323696e-07
CO2t_c_e,0.780839704466303
TPI_c,-0.000299191772614
ARGtps_e,0.000235713741135
GGTT_l,7.3070163385e-05
NDPK5_c,2.5811444457e-05
INSK_c,3.39323696e-07
ECOAR220_rm,6.2536230234e-05
FACOAE183_c,6.4226645e-08
3OAS80_c,0.050281579830216
NI2t_c_e,0.0
EX_ca2_e,-4.357735364e-06
MDH_c,-0.30971597537117
VALtps_e,0.000462275186351
RNDR3_c,4.2349498171e-05
SHCHD2_c,0.0
Ht_c_rm,0.149419548688255
Ht_c_g,-0.000900931234582
CMPt_c_rm,-0.000528426037955
PHEtps_e,0.000228487113279
FACOAL182_rm,1.509278532e-06
ORNDC_c,3.39323696e-07
SUCDq9_m,0.000344213779952
EAR80y_c,0.050281579830216
DHFRi_c,1.6877410099e-05
NADPt_c_r,-0.000276099902987
EX_h_e,-0.001973584792066
TAGt_l_rm,3.0441236631e-05
FTHFL_c,-0.496130130207081
MTHFR3_c,0.000290454508851
MDRPD_c,3.39323696e-07
3DSPHR_r,1.9453817683e-05
ASPK_c,0.000845929893084
IPDPt_c_l,-0.001096052450771
PSPHS_r,9.726908842e-06
GLUtps_e,0.001012623017406
STCOAt_c_l,4.201260765e-06
NGLYCANS5_c,7.3070163385e-05
HEX7_c,0.148609755173521
LINOLNCOAt_c_l,3.761820417e-06
ASPTAi_m,0.278414206565221
THRD_L_m,0.000394314534906
GENERIC_phemeheme_m,1.100415e-09
CERS2A24_r,4.863454421e-06
3HAD40_c,0.050281579830216
AMPt_c_l,-1.608987129e-06
AATA_c,0.00043390035068
ALAt_c_m,2.5062154583e-05
3OAR60_c,0.050281579830216
EX_met__L_e,-0.00013197594561
MALCOAt_c_rm,0.000185446390302
SHCHF_c,0.0
PEt_mm_rm,0.000264158031413
THRTRS_c,0.000599946016186
PSCIT_c,0.000464328425369
SERt_c_r,1.9453817683e-05
TMDPK_c,6.88104014e-07
GPIA4_r,8.0073894763e-05
ODECOAt_c_l,8.89355455e-06
PSt_mm_rm,-0.000264158031413
SACCD1_c,0.00043390035068
ATPt_c_l,1.608987129e-06
FUM_c,0.001090781962403
ORPT_c,-0.000344213779952
CDPCHOLt_c_rm,9.9097270734e-05
UAGDP_c,0.000337767109839
ADMDC_c,3.39323696e-07
TRPTRS_c,0.000105430934461
EX_arg__L_e,-0.000235713741135
EX_k_e,-0.002044546898803
ATPS_m,0.612596479840941
3HAD180_c,0.05007437903686
PGCD_c,0.249836126825729
EAR60y_c,0.050281579830216
PPA_c,0.458509524790174
CERS2A26_r,4.863454421e-06
FRDPt_c_m,3.39422249e-07
CBPS_c,0.000736946776057
ADNK1_c,0.000246919287104
ALAtps_e,0.001178829187887
PMTCOAt_c_l,6.306908349e-06
MN2t_c_e,3.53795143e-07
H2Ot_c_m,-2.149537939894412
OGLYCANS4_g,0.000225232808645
GHMT2r_c,0.497334951494636
RBFK_c,3.42268163e-07
Ht_m_mm,0.000528316062826
HSERTA_c,0.000127196073549
G13027t_g_r,-0.000225232808645
EX_val__L_e,-0.000462275186351
PSt_c_rm,-1.2836892413e-05
TALA_c,-0.144322712583393
TRPS1_c,0.000105430934461
EX_co2_e,0.780839704466303
EAR40y_c,0.050281579830216
GLUt_c_m,0.002266212144724
ACOADS180_rm,0.049940140291658
PRENT14_l,6.4951256342e-05
13BDGLUCANt_c_en,0.004718472424264
GLCt_c_e,0.148609755173521
FOLt_c_e,3.39327823e-07
PItps_e,0.001711836043697
OCBT_c,0.000392732996105
DOLPMT_c,0.000545528387698
O2t_c_r,0.000256646085304
IMPD_c,0.000200119053826
ALAS_m,2.73342721e-06
GENERIC_fe2feCATION_c,0.0
CERS126_c,4.863454421e-06
CERS124_c,4.863454421e-06
AIRC1_c,0.000332455763734
PROt_c_m,0.000206778231283
DOCOSAt_c_rm,5.5989519e-08
PROtps_e,0.000760192980393
PNTK_c,3.39325939e-07
ECOAR200_rm,6.2536230234e-05
GAPD_c,0.28743354797624
NNATi_c,6.7895518e-07
SHKK_c,0.000464328425369
GLYTRS_c,0.000772355764035
NDPK4_c,1.6538082277e-05
SO4t_c_e,0.000232946505986
EX_thm_e,-6.88104014e-07
MTHFC_c,0.497027958903509
H2Ot_c_e,-0.824421539151813
CDPDAGS_rm,0.000429328767221
PTPAT_c,3.39325623e-07
ILEt_c_m,0.000477975386708
HEX1_c,0.148609755173521
DAGK_rm,0.000130136994608
DGK1_c,0.0
CHOLtps_e,9.9097270734e-05
EX_ni2_e,-0.0
H2Ot_c_n,0.407270633524498
C4STMO3_c,0.000246919176462
FACOAL180_l,6.42321324e-07
SQLt_c_r,0.000246919176462
EX_zn2_e,-5.374651147e-06
OGLYCANS5_g,0.000225232808645
PRAIS_c,0.000332455763734
NDPK8_c,1.6538034643e-05
FACOAL160_l,9.66665804e-07
FACOAL181_rm,1.183962571e-06
ODECOAt_c_rm,-8.89355455e-06
GENERIC_hemeAheme_c,0.0
PSSA_rm,0.000276994923826
LINOCOAt_c_rm,-1.5271242488e-05
NH4t_c_e,0.011041140401984
ACOTAi_m,0.000393072319801
PRENT18_l,3.2475628171e-05
FECOOR_m,0.295331826846344
VALTA_m,-0.001183808195115
METtps_e,0.00013197594561
EX_sucr_e,-0.148609755173521
DCMPDA_c,1.6538082277e-05
3HACD200_rm,6.2536230234e-05
3OAR80_c,0.050281579830216
DHAD2_m,0.000477975386708
EAR160y_c,0.050281579830216
COBALT2t_c_e,8.20094556e-07
EX_thr__L_e,-0.000275526731556
3HAD80_c,0.050281579830216
ACOADS182_rm,5.5879840185e-05
AMPt_c_rm,-3.200583256e-06
THRS_c,0.000718733819536
COAt_c_rm,-0.050306652177242
PRENT10_l,7.3070163385e-05
AKGDH_m,2.73342721e-06
TTCOSAt_c_rm,-2.06402106e-07
SPMS_c,3.39323696e-07
MTHFD_c,0.497027958903509
ORNTACi_m,0.000393072319801
GLNS_c,0.003065357527366
SSQ23EPXt_c_r,0.000246919176462
3OAR100_c,0.050281579830216
3HAD140_c,0.050281579830216
ATPPRT_c,0.00023291716896
PRPPS_c,0.001015696602288
FACOAL183_rm,3.71786042e-07
