rxn,flux,lb,ub
13GS_c,0.09682060000000002,0.0,1000.0
16GS_c,0.0254791,0.0,1000.0
PRMICI_c,0.007317100000000001,0.0,1000.0
P5CD_m,0.27242986548723613,-1000.0,1000.0
ACHBS_m,0.02233060000000001,0.0,1000.0
AATA_c,0.024908600000000006,-1000.0,1000.0
IPPMIb_c,-0.030367999999999996,-1000.0,1000.0
IPPS_m,0.03036799999999999,0.0,1000.0
HCITR_m,0.024908600000000003,-1000.0,1000.0
OMCDC_c,0.030368,0.0,1000.0
BPNT_c,0.004871799999997578,0.0,1000.0
DHQTi_c,0.0241504,0.0,1000.0
DHQS_c,0.024150400000000002,0.0,1000.0
3DSPHR_r,0.0004754000000000003,0.0,1000.0
DDPA_c,0.024150400000000002,0.0,1000.0
HACD140i_x,-3.7127330907976763e-16,0.0,1000.0
IPPMIa_c,-0.030367999999999996,-1000.0,1000.0
IPMD_c,0.030367999999999992,0.0,1000.0
PSCIT_c,0.024150400000000006,0.0,1000.0
PRFGS_c,0.00968710000001229,0.0,1000.0
MTHFR3_c,0.018010599999999998,0.0,1000.0
KARA1i_m,0.05815799999999999,0.0,1000.0
ACLS_m,0.058157999999999994,0.0,1000.0
ACOATA_m,-1.0580305842275916e-17,-1000.0,1000.0
ACACT160i_x,-3.7127330907976754e-16,0.0,1000.0
ACACT40ir_c,0.21167291397068977,0.0,1000.0
ACACT40ir_m,3.161412449919614,-1000.0,1000.0
ACACT140i_x,-3.712733090797676e-16,0.0,1000.0
ACACT100i_x,-3.712733090797678e-16,0.0,1000.0
ACACT120i_x,-3.712733090797677e-16,0.0,1000.0
ACCOAC_m,-6.171871543803757e-18,0.0,1000.0
ACCOAC_c,0.11644548906239585,0.0,1000.0
ACS_c,0.7744097309744622,0.0,1000.0
ACGK_m,0.3030632654872362,0.0,1000.0
ACOTAi_m,0.3030632654872362,0.0,1000.0
ACOAO100_x,-3.712733090797677e-16,0.0,1000.0
ACOAO120_x,-3.7127330907976754e-16,0.0,1000.0
ACOAO160_x,-3.7127330907976754e-16,0.0,1000.0
