Rxn,Flux
ACGAMPM_c,0.000491769912951
COAt_c_m,0.000912992742089
Ht_c_l,-6.751953923e-06
HDCOAt_c_rm,-0.00028608703819
ACS_c,0.91665193444482
ALATRS_c,0.000869996784972
SO3R_c,0.000122028492243
DOLPMMT_r,0.013404448520065
SERt_c_rm,5.8696260435e-05
PC_c,0.007583392465306
PYK_c,1.075657637958596
MG2tps_c_e,0.00086277208051
ADSL1r_c,0.002000637824467
ATPt_c_l,7.794618e-09
compCER_r,1.7525498117e-05
G5SADr_c,0.001102080553573
4ABZt_c_m,8.54411965e-07
SQLEy_r,0.00015215867877
DNTPPA_c,8.54411965e-07
TKT2_c,0.128276816522602
3OACR220_rm,1.7525498117e-05
FECOOR_m,0.801013175565992
IPPS_m,0.000182738325755
SQLt_c_r,0.00015215867877
compFALPD_l,-6.751953923e-06
VALt_c_m,-0.000271567050417
PFK_c,0.477449353282839
ENO_c,1.076709268346766
ODECOAt_c_l,0.000104965033591
ME1_m,0.001525316255557
PROTRS_c,0.000447194301046
ACLS_m,0.000454305376171
NADHq6_c,0.846936045141027
PPBNGD_c,2.911110596e-06
SLFAT_c,0.000122028492243
CERH124B_r,1.752549812e-06
THRtps_e,0.000276
HSDx_c,0.000727137542
COAt_c_l,-0.000515855355981
SQLS_c,0.00015215867877
PPIt_c_rm,-0.000107711511544
LNS14DMy_c,0.00015215867877
CHTNS_c,0.000491769912951
CHORS_c,0.000525815194085
NDPK3_c,0.000174924639284
PSERT_c,0.00632051320937
3OACR260_rm,8.762749058e-06
MTHFR3_c,0.000210282738775
GCALDt_c_m,-8.54411965e-07
GLUt_c_m,0.001409756977703
EX_o2_e,-0.904381193408105
SACCD1_c,0.000445097852109
UPP3S_c,2.911110596e-06
ASPK_c,0.000727137542
EX_ala__L_e,-0.001179
PSCIT_c,0.000525815194085
SERPT_r,1.7525498117e-05
H2Ot_c_l,6.751953923e-06
ARGTRS_c,0.000410957536333
UAGDP_c,0.000491769912951
INOSTtps_e,4.9015251109e-05
PPIt_c_m,0.99847955309712
CDPCHOLt_c_rm,0.000117497013204
RNDR3_c,5.2860556591e-05
NADK_m,0.0
lumpFACS180_c,0.101398501721575
HACNH_m,0.000445097852109
DAGt_c_rm,-3.1248381138e-05
CHLPCTD_c,0.000117497013204
PPND2_c,0.000206666364525
4ABZt_c_e,-8.54411965e-07
FCLT_m,2.910784562e-06
CHORM_c,0.00043262531846
GLYGS_c,0.010028373326322
Ht_c_rm,0.304150986165737
ACGK_m,0.001277038089906
SERTRS_c,0.000658550383733
LNSTLS_c,0.00015215867877
CYTK2_c,-3.1557783219e-05
EX_pnto__R_e,-2.576671128e-06
TRDR_c,0.000227749514948
GHMT2r_c,0.005762646107154
FACOAL180_l,2.06714e-09
EX_nac_e,-8.2321336068e-05
MN2tps_c_e,2.700108224e-06
VALTA_m,-0.000271567050417
FE2t_c_m,2.910784562e-06
ERGTETROLt_c_r,0.00015215867877
HMGCOAR_c,0.000912992742089
LYSTRS_c,0.000661097852109
PSSA_rm,5.8696260435e-05
NDPK8_c,0.001930485583012
DOLPt_c_r,-0.013404448520065
GLYTRS_c,0.000784822041932
GARFT_c,0.003892395667402
CTPt_c_rm,0.000107711511544
